Year,ACCESS-CM2,ACCESS-ESM1-5,AWI-CM-1-1-MR,BCC-CSM2-MR,CAMS-CSM1-0,CESM2,CESM2-WACCM,CNRM-CM6-1,CNRM-ESM2-1,CanESM5,EC-Earth3,EC-Earth3-Veg,FGOALS-f3-L,GFDL-CM4,GFDL-ESM4,HadGEM3-GC31-LL,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,MIROC-ES2L,MIROC6,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NESM3,NorESM2-LM,UKESM1-0-LL
2051,0.410942137,0.458121002,0.057879522,3.546737909,6.151828766,0.178918824,0.305064648,3.605425358,2.497344255,1.063755393,0.016887067,0.358188748,0.610784948,0.713046193,2.652803659,0.095,6.234740257,4.962227345,0.123795323,0.805715442,1.467235088,0.334120095,1.015367985,0.15134014,0.216591671,2.112057686,0.027
2052,0.203432992,1.155187368,0.20353967,3.258868456,6.271715164,0.207286954,0.43198052,1.554553986,2.235933542,0.333579391,0.421742141,0.62690711,0.768849909,0.638218641,2.379747629,0.103,5.506485939,5.611815453,0.210950971,1.329171419,1.229262948,0.585039496,1.070382237,0.195625371,0.11097461,1.729465961,0.057
2053,0.367571592,0.698051691,0.041775439,3.304189682,5.448410034,0.287100077,0.385778964,1.463814259,2.351554871,0.628174365,0.422142804,0.872685373,0.73535192,1.736411691,1.569959879,0.115,5.57918644,5.529651642,0.092920899,1.015044332,1.082425833,0.582830191,1.607564688,0.221482425,0.087995507,1.552274466,0.037
2054,0.482096732,0.614036083,0.42550838,3.277879477,6.431205273,0.152742073,0.409787327,3.076732159,1.886964083,1.248067141,0.897060573,0.615510404,0.91818738,2.023415327,2.2399683,0.173,6.023774147,5.699923992,0.088801868,0.395748377,1.222371817,0.634131134,1.483896136,0.12690627,0.107644871,2.504294634,0.055
2055,0.182678759,0.40613997,0.056827076,2.520814896,5.774509907,0.166254252,0.423508644,2.717442751,1.939193726,0.636281431,0.43941915,0.679131567,0.77931267,1.107030988,2.131552458,0.047,5.543077946,5.674444199,0.109335288,0.484235913,0.721154392,0.688261151,0.854922175,0.220346927,0.129141808,2.166134357,0.074
2056,0.228445888,0.662246823,0.046304666,1.742356062,5.684329987,0.16863206,0.465049922,3.444994926,3.147145987,0.514424801,0.091778502,0.660373449,0.772258639,1.953010917,1.97207427,0.049,5.287592888,5.352136612,0.300525039,0.629483104,1.184963584,1.198966026,0.805947483,0.067318509,0.095711559,2.578172922,0.109
2057,0.283490568,0.357012808,0.077777632,1.577925324,5.920990944,0.286890119,0.435665965,3.275540829,3.670426369,0.582699001,0.140523836,0.44597286,0.657503486,2.228705883,2.173336506,0.054,4.569042683,5.494213104,0.221739858,0.647176087,0.282021821,0.190145373,1.077233434,0.043575953,0.10172528,2.106726646,0.034
2058,0.439393729,0.270419151,0.41685617,1.671080828,6.220168114,0.305514812,0.463013321,3.567771435,3.526828289,0.298342079,0.618993282,0.206469491,0.411055416,1.670102477,1.473329425,0.02,5.187933922,5.103920937,0.422112763,1.031428814,0.811014414,0.376444668,0.841680884,0.047474487,0.100314662,2.012647867,0.044
2059,0.234974369,0.280585676,0.024068318,2.079518557,5.665193558,0.179800704,0.324315131,4.112942696,1.457988143,0.175510645,0.314952552,0.092277907,0.371678948,0.752357602,3.318753958,0.078,5.376852989,5.377337456,0.270530641,0.318871915,0.456216067,0.884123504,0.963508546,0.034707627,0.074417979,1.9073174,0.013
2060,0.070713401,0.344543576,0.359106034,3.114820004,5.624145508,0.135529414,1.115109444,3.638771534,2.237084389,0.365157992,0.081438407,0.314591765,0.434552193,1.487699628,2.490505695,0.051,4.985482216,4.279946804,0.036922481,0.5268448,0.342299134,0.821885228,0.950196087,0.11594387,0.105453819,1.707432032,0.027
2061,0.10285823,0.156543672,0.003741973,2.513255596,6.233290195,0.218385249,0.422136456,2.681817532,1.831552505,0.183142275,0.043661073,0.18110323,0.614348888,1.606833458,2.979498148,0.063,4.768830299,3.939520836,0.022162149,0.214673594,0.264779717,1.060985923,0.374776542,0.050711189,0.133268341,1.356483817,0.026
2062,0.054462291,0.096337132,0.36905995,1.441102147,5.938279152,0.208217472,0.297691524,4.158682823,2.455987215,0.035071295,0.095840603,0.260580868,0.487871498,1.463389874,2.00884819,0.057,4.832641602,3.786772966,0.000397168,0.583158731,0.579755485,1.078324556,0.828237176,0.165198542,0.134314165,1.254980922,0.032
2063,0.033474986,0.182462379,0.401061505,3.129978657,6.217823982,0.270439059,0.350892514,2.753021002,1.681283593,0.116391785,0.060669217,0.282385379,0.833186746,1.50373435,2.931859732,0.06,4.768773079,3.555960655,0.002190445,0.364706844,0.679188907,0.884111106,0.636436224,0.069680966,0.167931512,1.751670718,0.045
2064,0.185872927,0.13546811,0.015869765,1.06763041,5.351460457,0.15218091,0.351154536,1.82743156,2.52044034,0.086314037,0.030263884,0.029086538,0.288869023,0.616322279,1.681108236,0.021,5.000363827,3.898749828,0.000718177,0.285745651,0.967972934,0.44340086,0.518864632,0.076607723,0.115201831,1.030512691,0.063
2065,0.048669536,0.332957327,0.081960678,2.219329357,5.854856014,0.131021112,0.407558084,2.573658705,2.077877522,0.246998817,0.119124837,0.16455391,0.523586929,0.986809254,2.056088686,0.012,5.276650429,4.863012791,0.020744488,0.057119664,0.374618262,0.609044015,0.997462749,0.209131441,0.102328487,0.894952834,0.007
2066,0.092008293,0.415361971,0.068128414,1.694627166,5.651128292,0.089782797,0.739755452,2.264200449,2.186739206,0.237375513,0.012511128,0.137168288,0.495014787,0.094459258,2.476716757,0.02,5.364842415,4.136397362,0.055297866,0.048691809,0.116564929,0.359546006,1.250427365,0.19415341,0.112920068,1.263915181,0.038
2067,0.297715038,0.398866028,0.251925439,2.162642717,5.87008667,0.117306091,0.388983905,1.669933438,1.513476729,0.058129489,0.250539184,0.126048923,0.285424322,1.525021791,2.344263315,0.017,5.198489189,3.976154089,0.149063542,0.140215829,0.701411605,0.007594808,0.678577721,0.187439276,0.072815232,0.893086493,0.069
