Year,ACCESS-CM2,ACCESS-ESM1-5,AWI-CM-1-1-MR,BCC-CSM2-MR,CAMS-CSM1-0,CESM2,CESM2-WACCM,CNRM-CM6-1,CanESM5,EC-Earth3,EC-Earth3-Veg,GFDL-CM4,GFDL-ESM4,HadGEM3-GC31-LL,HadGEM3-GC31-MM,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,MIROC-ES2L,MIROC6,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NESM3,NorESM2-LM,UKESM1-0-LL
2046,0.539393544,0.381326854,0.622800648,0.785408854,5.722773552,0.164338753,0.434069335,2.64443469,0.145238176,0.006632719,0.453726321,1.753366828,2.980792761,0.037,0.056,5.162643909,3.638487577,0.101162352,0.6870839,2.069455385,0.869332969,1.154242158,0.04762111,0.083681352,2.041494131,0.055
2047,0.342341602,0.507050514,0.120018288,1.610964179,5.276611805,0.192391708,1.035134673,2.676885366,0.11463815,0.032667816,0.600961149,1.994064689,2.13307333,0.031,0.101,4.859316826,3.703876972,0.114910372,0.453890353,1.899160862,0.221205756,0.852954268,0.02341381,0.070896283,2.736762762,0.039
2048,0.227337584,0.643214941,0.460014939,0.541842878,5.105160713,0.192023575,0.586992443,2.497478247,0.012711173,0.010600791,0.162484333,1.985947847,2.167425394,0.03,0.105,4.7815938,3.731221914,0.110086568,0.276575357,1.700814843,0.220599517,1.325191021,0.024404848,0.131514803,2.200092554,0.017
2049,0.64594245,0.434335768,0.093147196,2.204615116,5.637553215,0.160698414,0.380469054,3.552856207,0.097833723,0.008303239,0.202634156,1.460071921,1.478814483,0.05,0.087,3.928954601,3.433793068,0.087611869,0.188543782,1.51947391,1.243742466,1.510531902,0.045394598,0.100978404,1.526380539,0.099
2050,0.077167116,0.355357707,0.348041326,1.617747426,5.661384106,0.081001334,0.6824615,2.410099506,0.088674515,0.201059729,0.125443503,1.050289392,1.589758992,0.062,0.072,4.243641376,3.344851255,0.084634446,0.862112582,1.157684326,0.000489677,1.356173396,0.028005331,0.079570152,1.713325858,0.042
2051,0.142108738,0.354128301,0.056029812,1.313664794,6.288750648,0.113244861,0.524408758,3.138693094,0.040426046,0.05950189,0.12845844,1.061799526,1.337620139,0.028,0.041,5.28222847,3.373418093,0.111609764,0.789555848,0.799276233,0.066053182,1.320601225,0.041163624,0.095501311,2.12024951,0.03
2052,0.107814662,0.221585616,0.049265321,1.518205762,5.119080067,0.088045739,0.35329631,2.492412806,0.025187027,0.337633461,0.06024567,0.470410258,1.090517044,0.016,0.024,4.682569027,3.233641386,0.311588943,0.532018244,0.779054821,0.338268459,0.934826791,0.051783964,0.070921957,1.048431635,0.022
2053,0.255345255,0.333089709,0.054619763,1.679968834,5.170664787,0.095597818,0.242636785,2.578602076,0.1068388,0.028660744,0.01177854,0.56316793,1.839939713,0.017,0.017,5.299542427,3.959896088,0.00028291,0.179360941,1.007970214,0.165825441,1.089796662,0.027223107,0.052575164,0.894813776,0.017
2054,0.158710793,0.147224858,0.324866563,1.339055777,5.483082294,0.079940699,0.264591634,3.828199863,0.079005294,0.006592887,0.019496677,1.223821998,1.644382834,0.019,0.018,5.239060402,3.812484026,0.001183622,0.039021771,0.540012538,0.329866201,1.053025603,0.041936244,0.051160257,1.205260992,0.021
2055,0.079685576,0.169090942,0.107512027,2.822415829,5.389793873,0.079417981,0.339749932,2.718605518,0.06718798,0.063917585,0.060873978,0.57100296,2.231916904,0.016,0.022,4.248620033,3.698414803,0.019612834,0.209418043,0.199556112,0.366912723,0.754230499,0.023195579,0.027854957,0.746487141,0.009
2056,0.038125876,0.116186075,0.00378694,1.021200299,5.584608555,0.024258941,0.192930073,2.490086794,0.105501823,0.033856984,0.531239033,0.536440253,2.109256268,0.004,0.017,4.075737476,3.950873852,0.000235051,0.136784673,0.267125249,0.851832211,0.75233686,0.026599943,0.026313638,0.760650277,0.009
2057,0.060027659,0.060566008,0.054053694,1.338067889,6.144719601,0.055404056,0.178019792,2.14719677,0.072844721,0.01829874,0.049115356,0.153373107,1.808596611,0.016,0.023,3.707645416,3.701687336,0.017655851,0.017560186,0.25092575,0.300742209,0.64126718,0.035102409,0.014250684,0.591409981,0.006
2058,0.041077208,0.218914136,0.008368797,1.207992196,4.59484148,0.056559205,0.18539007,1.369819522,0.048975591,0.054835808,0.027459763,0.303571939,1.875113845,0.037,0.036,4.450232506,2.990232944,0.052609883,0.073118858,0.284148008,0.029664429,0.176947981,0.128200496,0.0130936,0.964145243,0.004
2059,0.022742823,0.221500978,0.001379032,0.488574386,4.80838728,0.031557459,0.210432589,1.187615395,0.040642686,0.013394033,0.030491853,0.054656252,1.384560227,0.008,0.008,4.863516331,2.45127964,0.038525812,0.035792936,0.520829439,0.559026301,0.169868499,0.046196685,0.021371987,0.851545095,0.005
2060,0.043550208,0.067401774,0.267730743,0.80197674,4.875175476,0.065355934,0.147704825,0.346592605,0.065278143,0.014560922,0.008961664,0.00195396,2.078123093,0.008,0.003,4.669769764,2.566158772,0.000726779,0.018424213,1.212098479,0.074737638,0.36255455,0.011237024,0.017352866,0.582108378,0.009
2061,0.062316541,0.189625308,0.276827037,0.158044636,5.228248119,0.019362593,0.056665771,1.305355906,0.042954888,0.094998039,0.052388463,0.298511237,1.210458636,0.003,0.011,4.89485836,3.136497021,0.002396386,0.015270913,0.644944668,0.149807572,0.146274865,0.034484485,0.03570047,0.687667072,0.007
2062,0.034330755,0.232449323,0.101425402,1.363594413,4.8573699,0.063467577,0.070753738,0.384836167,0.000942395,0.060823429,0.123507239,0.282513887,0.729960144,0.018,0.004,4.319921494,2.798369646,0.010037605,0.006379476,0.163476527,0.001079627,0.050818611,0.05026829,0.017635353,0.509038866,0.008
2063,0.028644236,0.121290952,0.01118574,1.922459364,4.559319496,0.021568881,0.112284876,1.036886096,0.020421658,0.007585207,0.017652547,0.346215159,1.117824078,0.005,0.01,4.907938004,2.825477123,7.89E-05,0.023876807,0.061650567,0.000240907,0.017057542,0.047350108,0.027415661,0.608222783,0.002
2064,0.052192952,0.163403839,0.000188388,0.867497206,4.346041679,0.02599703,0.114130154,0.120122619,0.006016713,0.017798008,0.072018974,0.154153883,1.409433246,0.003,0.006,4.092421055,4.19722271,0.000715902,0.015072543,0.150707394,0.00633529,0.202487305,0.215583987,0.014351952,0.741927922,0.002
2065,0.167766362,0.121421278,0.04461899,0.019359479,4.535871506,0.027528981,0.107442066,0.222091749,0.007960684,0.003948262,0.000162022,0.027323229,1.045217991,0.002,0.004,4.065611362,4.350427628,0.005214595,0.0029898,0.190451354,0.032631014,9.22E-05,0.065674113,0.009859938,0.45983085,0.002
2066,0.082661629,0.126497194,0.037501927,0.093005002,4.866638184,0.020912055,0.051946476,0.023563402,0.020733122,0.095708594,0.002928756,0.005140441,0.389093876,0.002,0.002,3.042890072,3.562781572,0,0.030443942,0.030499205,0.013816817,0.041325249,0.01659224,0.007112178,0.744581819,0.005
2067,0.048322152,0.310972989,0.001303578,0.63066715,4.172909737,0.051654533,0.120776139,0.276277125,0.0006282,0.01290644,0.005371402,0.004299159,0.758702934,0.004,0.004,3.30402422,3.628827095,0.001155225,0.001423643,0.00371226,0.014248651,0.000596308,0.016674138,0.007215331,0.685930967,0.002
2068,0.026313305,0.241296113,0.184109882,0.807333648,5.175485611,0.01692038,0.04917847,1.523946524,0.000888144,0.00175895,0.003521262,0.000495066,0.717519522,0.007,0.003,3.846550703,3.766232967,0.004905898,0.020338742,0.03828153,1.64E-05,0.468700856,0.04882721,0.013263101,0.617751479,0.002
2069,0.039793704,0.093153104,4.02E-06,0.919720173,4.200161934,0.008226432,0.057013657,0.09067215,0.001805522,0.000831356,0.031943727,0.002119931,0.489989638,0.002,0.004,3.935173512,3.709865093,0.005502886,0.011128132,0.020065857,0.101749375,0.001937663,0.067979243,0.007830626,0.491267174,0.001
2070,0.05528013,0.063400611,0.000665421,0.00919167,5.04417181,0.003139716,0.079371504,0.810402334,0.012499299,0.008685333,0.015436826,0.001253215,0.035783079,0.001,0.007,4.133063793,3.148145676,0,0.000303349,0.002054532,0.100545205,0,0.014119216,0.007559668,0.590030015,0
2071,0.015341028,0.104594089,1.88E-07,0.178789824,4.939823627,0.017974038,0.058861706,0.061174471,0.006961774,0.030218743,0.002785346,0.002645495,0.061507344,0.001,0.003,4.256240845,3.170706034,0,0.000493102,0.000717626,0.000319553,0.02163573,0.008059786,0.006263946,0.366046876,0.001
2072,0.019451926,0.025703331,0.000135266,0.306021243,4.595740318,0.008401291,0.032716163,0.018047554,0,0.007790137,0,0.000553818,0.131769881,0.001,0.001,3.464415073,3.194946527,0.000183228,0.000851727,0.000792356,0.000945362,0.000298511,0.013103691,0.004947315,0.213170603,0
2073,0.10230276,0.125578508,2.01E-06,0.006145859,3.973136425,0.005540624,0.013646744,0.006162383,0,0.01210446,0.002551637,0.000235023,0.092050046,0.005,0.005,3.943062782,2.530191422,0,0.000786199,0,7.86E-08,0.002294481,0.019011092,0.004565524,0.125774249,0
2074,0.02038775,0.041313309,0.000185422,0.304010719,4.829117775,0.003789506,0.010938142,0.078359835,5.30E-05,0.000330334,0.008292018,0.016791917,0.117297962,0.001,0.004,3.712407589,1.7666471,6.08E-06,0.000244278,0,9.33E-07,0.060817435,0.016661516,0.002433397,0.266172409,0
2075,0.011828181,0.038061608,0.001603064,0.563558578,4.015305996,0.008511542,0.017071715,0.000163391,0,3.01E-06,0.000410499,0.000983001,0.815825224,0,0.001,3.290268183,1.906918049,0.001749599,0.003313518,0.003487454,0,0,0.009440307,0.002705319,0.22362332,0.001
2076,0.013367009,0.055536043,0.000234332,0.008996482,3.510852098,0.004868573,0.015045298,0.014514371,0,8.90E-05,0,0.000825155,0.213482767,0.001,0.001,3.223570347,2.787642002,0,0.022904461,0,0,0,0.019412578,0.002177038,0.248324081,0
2077,0.009894277,0.025460696,0.000136845,0.021783039,3.674154043,0.00092673,0.009857935,0.000171295,0,0.003931881,0.000723531,0.000348844,0.539699972,0,0.001,3.7208004,2.72222662,0,0.001299225,6.61E-06,0,1.06E-05,0.030147889,0.003177777,0.062635876,0
2078,0.012380395,0.098776713,1.60E-07,0.002874529,1.583447695,0.001086228,0.018297451,0.002251825,0.00030666,0.001501684,0.000512165,8.34E-05,0.002980623,0,0.001,3.663579941,1.839378357,3.11E-05,0.012455141,3.44E-05,0,1.61E-05,0.00692891,0.004943812,0.144507319,0
2079,0.018463723,0.011503237,4.24E-08,0.007903932,0.856597662,0.000824336,0.013703871,0.020512238,0,0,0.002289484,0.000435635,0.007789625,0,0.001,2.927191257,2.443338394,4.10E-05,0.002193278,0,0,0.016643092,0.005781005,0.005002039,0.2073818,0
2080,0.009998502,0.048932366,5.71E-08,0.006187126,3.169927359,0.002350424,0.007702464,0.020866705,0,0.000455244,0,0.000140147,0.34680286,0,0.001,3.089479446,1.70437789,0,0.000978588,0,0,0.00036585,0.009988415,0.001772961,0.163027987,0
2081,0.023740176,0.028580675,0.000545327,0.000221955,2.375522137,0.003178539,0.003560507,0.003671713,0,0.000800812,0,0.000193608,0.173826337,0,0.001,3.963728189,1.385966778,0,2.99E-05,0,4.24E-05,0.001194322,0.009102043,0.002482262,0.015803577,0
2082,0.012947658,0.020465689,2.15E-06,0,1.740406156,9.32E-06,0.007048464,0.320745587,0,0.00010211,0.004498411,1.40E-05,0.047938857,0,0.001,3.645977974,1.695172906,0,1.85E-06,0,0,3.86E-05,0.008332722,0.001304863,0.012041165,0
2083,0.011560244,0.037642956,2.15E-06,0,2.297934055,0.000122227,0.007801624,0.000306181,0,0,0.000363557,0.000143315,0.001394653,0,0.001,3.048088551,1.837195396,0,0.000207848,0,2.29E-07,3.59E-07,0.007966806,0.001961868,0.084774151,0
2084,0.009359492,0.017024862,1.27E-05,0.333661348,2.633043766,0.000811103,0.009866932,4.41E-06,0,5.86E-05,0,0.000152991,0.002184984,0,0.001,3.657062054,1.84815228,0,0,0,0,1.65E-06,0.006559846,0.001930227,0.212934315,0
2085,0.001890197,0.012262579,7.99E-07,0.062593155,1.444789886,0.000599176,0.002702534,4.46E-06,0,0.000329085,6.44E-06,5.72E-05,0.007463248,0,0.001,2.325524569,2.035905361,0,0,0,0,4.79E-08,0.008758417,0.001583855,0.07061018,0
2086,0.002654674,0.033634119,0.000363304,0.092620909,1.380342603,1.08E-06,0.006496143,0.000211142,0,0,0.001727183,0.000110614,0.000973895,0,0,2.994438887,2.823173523,0,8.50E-05,0,0,0,0.004489657,0.001076408,0.017956067,0
2087,0.004906842,0.005549569,3.02E-06,0.003364759,1.1223948,0.000183144,0.003872878,0.000405629,0,0,2.93E-05,0.000148596,0.001942528,0,0,3.073152781,2.212662697,0,0,0,0,0.000265469,0.006369033,0.000633037,0.05086023,0
2088,0.006728492,0.004480744,1.23E-05,0,0.98643893,0.000462767,0.003918673,3.33E-05,0,0.000398849,0,3.66E-05,0.001204385,0,0,2.705436468,1.186454654,0,0,0,0,1.86E-08,0.005569866,0.000707957,0.025306122,0
2089,0.002303683,0.015407735,6.30E-07,4.88E-05,1.527548075,5.40E-05,0.001356895,2.00E-05,0.00115971,0.000175066,8.25E-05,6.20E-05,0.002784534,0,0,2.99981904,2.057181597,0,0,0,0,0,0.00643282,0.00063638,0.064366907,0
2090,0.001393312,0.008833396,6.53E-08,0.01628002,1.40714395,0.000129917,0.001205671,0.000131924,0,0.000133982,0,7.29E-05,0.001090949,0,0,2.869719267,2.396463871,0,0,0,0,1.94E-05,0.009839723,0.000743009,0.085929677,0
2091,0.006051277,0.004755051,5.45E-08,0,2.113619089,3.66E-05,0.000685382,1.44E-06,0,0,0,2.79E-05,0.000713045,0,0,2.069559574,2.34019804,0,0,0,0,2.93E-06,0.00701438,0.000362867,0.049943641,0
2092,0.004520572,0.006112708,1.01E-06,0.003069737,2.997996092,2.02E-07,7.48E-06,6.62E-07,0,0,0,6.60E-05,0.000970627,0,0,2.033415794,1.626600623,0,0,0,0,0,0.005706473,0.000612239,0.038471226,0
2093,0.002024504,0.01095282,6.48E-08,0.008221764,2.117482662,2.69E-05,0.000763947,2.73E-05,0,0,0,1.45E-06,0.000762176,0,0,2.018599033,0.586505175,0,0,0,0,0,0.008372218,0.000722406,0.055652678,0
2094,0.000572782,0.008992005,2.37E-08,0.007506015,2.599454165,1.36E-05,1.00E-06,2.70E-06,0,0,0,8.58E-06,0.001792883,0,0,1.634524107,1.253144264,0,0.0003282,0,0,0,0.007482217,0.000252034,0.010820122,0
2095,0.0002329,0.006114995,1.07E-06,1.03E-08,1.53774941,3.85E-10,7.37E-06,0,0,0,0,0.00036679,0.001403404,0,0,2.210392952,0.426193118,0,0,0,0,0,0.005240365,0.000349498,0.005083116,0
2096,0.000693157,0.008460057,5.96E-06,0,2.907931566,8.77E-10,5.20E-08,0,0,0,0,1.49E-05,0.020451866,0,0,1.751382113,0.621643424,0,1.42E-07,0,0,0,0.007185616,6.15E-05,0.018722543,0
2097,0.005389602,0.003601657,1.52E-07,0,1.359600306,0,6.02E-07,0,0,0,0,2.90E-05,0.001505607,0,0,1.756339669,0.548178077,0,0,0,0,0.000173692,0.006395953,8.35E-05,0.014101298,0
2098,0.000101244,0.003784486,2.88E-08,0.000379676,1.656972528,0,8.07E-10,0,0,0,0,5.80E-05,0.000666407,0,0,2.106271267,0.49569577,0,0,0,0,0,0.004119888,0.000271994,0.001168163,0
2099,0.000409113,0.007022383,3.34E-08,0.000170724,1.652040482,0,0.000128526,3.10E-10,0,0,0,0.000147414,0.000597464,0,0,2.787490368,0.926830709,0,0,0,0,0,0.005773743,0.00010389,0.027563093,0
