Year,ACCESS-CM2,ACCESS-ESM1-5,AWI-CM-1-1-MR,BCC-CSM2-MR,BCC-ESM1,CAMS-CSM1-0,CESM2,CESM2-WACCM,CNRM-CM6-1,CNRM-ESM2-1,CanESM5,E3SM-1-0,EC-Earth3,EC-Earth3-Veg,FGOALS-f3-L,GFDL-CM4,GFDL-ESM4,GISS-E2-1-G,GISS-E2-1-G-CC,GISS-E2-1-H,HadGEM3-GC31-LL,HadGEM3-GC31-MM,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,MIROC-ES2L,MIROC6,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NESM3,NorCPM1,NorESM2-LM,SAM0-UNICON,UKESM1-0-LL
1968,16.468917846679688,14.833288192749023,15.8217134475708,16.830747604370117,19.229976654052734,19.250974655151367,14.24907398223877,14.630236625671387,15.560628890991211,15.026506423950195,16.438735961914062,21.40218734741211,18.36427116394043,16.188411712646484,11.767596244812012,15.73034954071045,13.610074043273926,18.562166213989258,17.869354248046875,21.18398094177246,15.259,14.951,16.021087646484375,15.69760513305664,14.655611038208008,12.919498443603516,12.108057975769043,14.710667610168457,14.58271598815918,14.436620885901016,18.915639877319336,15.00878620147705,14.637250900268555,15.623799324035645,17.789
1969,16.411985397338867,14.786581039428711,16.258750915527344,16.6131649017334,18.720069885253906,18.906679153442383,14.651278495788574,14.314685821533203,15.899428367614746,15.471141815185547,16.45315170288086,20.811901092529297,18.57866096496582,16.349475860595703,11.958375930786133,15.17990779876709,13.79286003112793,18.30438232421875,17.99324607849121,20.67051887512207,15.42,14.881,16.18472671508789,16.524517059326172,14.5632963180542,13.202003479003906,12.058935165405273,13.939510345458984,14.24331283569336,14.571211695399674,19.234033584594727,15.175277709960938,14.413841247558594,15.834888458251953,17.478
1970,15.864778518676758,14.606682777404785,15.816863059997559,17.00503921508789,18.30247688293457,18.906064987182617,14.408812522888184,14.421010971069336,15.398649215698242,15.211013793945312,16.32158660888672,20.605649948120117,18.37921142578125,15.839661598205566,11.058974266052246,15.187098503112793,13.600232124328613,17.814559936523438,18.190134048461914,21.31221580505371,15.283,14.538,16.020931243896484,16.34601593017578,14.814016342163086,13.427984237670898,12.253344535827637,13.949929237365723,14.065598487854004,14.620386306980915,19.102733612060547,14.731305122375488,14.720171928405762,15.311408042907715,17.482
1971,15.886194229125977,14.716436386108398,15.805757522583008,16.85886001586914,18.570615768432617,19.071334838867188,14.356728553771973,14.42254638671875,15.788947105407715,15.608202934265137,16.022489547729492,20.970090866088867,18.700801849365234,15.240358352661133,11.338788032531738,15.34710693359375,14.01787281036377,17.712474822998047,17.94841766357422,21.383487701416016,15.596,14.757,15.729790687561035,16.556964874267578,15.480009078979492,13.281895637512207,12.135442733764648,13.646787643432617,14.717279434204102,14.713091592975465,19.368104934692383,14.771278381347656,14.451578140258789,15.24902057647705,17.558
1972,16.169475555419922,14.662473678588867,16.11849594116211,16.496179580688477,18.456396102905273,18.74713134765625,14.25428581237793,14.36775016784668,15.650378227233887,15.720549583435059,15.856447219848633,20.813987731933594,18.75663185119629,15.237886428833008,11.177043914794922,16.011262893676758,13.973714828491211,17.30402946472168,18.178245544433594,21.473495483398438,15.386,14.552,16.400548934936523,15.809284210205078,15.126237869262695,13.164251327514648,12.502917289733887,14.235258102416992,14.527073860168457,14.622480097192076,19.64629364013672,15.20383071899414,13.927257537841797,15.358189582824707,17.349
1973,16.070186614990234,14.732858657836914,15.708083152770996,16.575952529907227,18.38262367248535,19.070926666259766,14.27646255493164,14.56136417388916,15.998149871826172,15.399896621704102,15.842822074890137,20.684982299804688,18.971769332885742,15.119772911071777,11.321523666381836,16.116336822509766,13.760680198669434,17.649200439453125,18.612957000732422,20.7458438873291,15.854,14.358,16.117042541503906,15.426980972290039,15.120224952697754,13.237741470336914,12.489436149597168,13.706062316894531,14.187235832214355,14.506165503255795,19.035236358642578,14.87777042388916,14.127618789672852,16.053119659423828,17.2
1974,16.21620750427246,14.831480979919434,16.0312557220459,16.3419246673584,18.382654190063477,18.437471389770508,14.305573463439941,14.300146102905273,15.505453109741211,15.468360900878906,15.977132797241211,20.732637405395508,18.820714950561523,14.76750373840332,11.466119766235352,15.851929664611816,13.791492462158203,17.301645278930664,17.26506805419922,20.821640014648438,16.28,14.867,16.452266693115234,15.374526977539062,14.860750198364258,13.052457809448242,12.472944259643555,13.4430513381958,13.90932846069336,14.507709185174418,18.602741241455078,14.74108600616455,14.36047077178955,16.42099380493164,16.779
1975,16.33419418334961,14.948385238647461,14.88538646697998,16.454479217529297,17.92247772216797,18.705928802490234,14.383096694946289,14.48074722290039,16.293413162231445,15.511892318725586,16.170076370239258,19.850234985351562,18.775949478149414,14.754199981689453,11.772153854370117,15.756866455078125,13.946024894714355,17.106687545776367,17.234766006469727,20.9547119140625,16.449,14.784,16.236656188964844,15.81502628326416,15.628159523010254,12.937250137329102,12.548615455627441,13.554566383361816,14.122191429138184,14.637766429180772,19.025617599487305,14.663250923156738,14.432785034179688,16.439180374145508,17.035
1976,16.574296951293945,14.85202407836914,15.391944885253906,16.677719116210938,17.864912033081055,19.010089874267578,14.0239839553833,14.370244979858398,16.2933406829834,15.748092651367188,15.801008224487305,20.460193634033203,18.39104652404785,14.974522590637207,11.314574241638184,15.630438804626465,14.213041305541992,17.781949996948242,17.725889205932617,21.1623592376709,16.265,14.697,15.94819450378418,15.605122566223145,15.848676681518555,13.052345275878906,12.035082817077637,13.20538330078125,14.702472686767578,14.454260655395334,18.89611053466797,14.747790336608887,14.192758560180664,16.28834342956543,17.718
1977,15.675799369812012,14.8273344039917,15.533828735351562,16.66187286376953,18.232542037963867,19.17382049560547,14.303413391113281,14.339343070983887,16.237016677856445,15.742310523986816,15.534485816955566,21.02494239807129,18.316600799560547,14.892012596130371,10.993660926818848,15.353655815124512,14.242378234863281,17.66866111755371,17.760831832885742,21.103050231933594,15.619,14.104,16.26053237915039,15.112521171569824,15.464701652526855,12.676748275756836,12.105426788330078,13.759428977966309,14.291440963745117,14.62287633889346,19.179393768310547,14.964600563049316,14.465643882751465,16.166364669799805,18.04
