Year,Observed,ACCESS-CM2,ACCESS-ESM1-5,AWI-CM-1-1-MR,BCC-CSM2-MR,BCC-ESM1,CAMS-CSM1-0,CESM2,CESM2-WACCM,CNRM-CM6-1,CNRM-ESM2-1,CanESM5,E3SM-1-0,EC-Earth3,EC-Earth3-Veg,FGOALS-f3-L,GFDL-CM4,GFDL-ESM4,GISS-E2-1-G,GISS-E2-1-G-CC,GISS-E2-1-H,HadGEM3-GC31-LL,HadGEM3-GC31-MM,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,MIROC-ES2L,MIROC6,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NESM3,NorCPM1,NorESM2-LM,SAM0-UNICON,UKESM1-0-LL
2004,14.99,15.19149685,13.15019131,14.14381313,15.88950062,17.88514519,18.5676403,13.38047504,13.64131832,14.89387035,14.24901199,15.32957172,19.09889221,14.38050842,13.11435413,10.56941414,14.85208893,13.58157444,16.30367088,16.02423859,19.8999958,15.325,14.512,15.14901352,14.68205452,14.57265377,12.51731777,11.41132832,13.93877506,12.90187168,13.55647365,17.98573875,14.54142189,13.96710014,15.27022171,15.299
2005,14.69,15.31592369,12.96650124,14.43248558,16.08311844,17.50083923,19.2416935,13.56165886,13.96389103,14.63668251,14.29166889,15.2250309,18.61782646,14.36909103,13.25070286,10.15812016,14.68744469,13.57482338,16.00776291,16.06004143,19.85457802,15.282,14.321,15.17123413,15.19645691,14.61171627,12.3302269,11.61463737,13.01723099,12.78709221,13.99902504,18.23469734,14.72618008,14.08370972,14.90470028,15.311
2006,14.42,15.54742718,13.16932392,14.26696682,16.05187225,17.06617928,19.30132866,13.64091015,13.85473824,14.56696033,14.49578953,15.08189297,18.44847298,14.36297607,14.11425591,10.87968826,14.25195313,13.33579063,17.29258537,16.34713936,19.67338371,14.835,14.353,15.20466805,14.85576344,14.0059948,12.11574841,11.40052891,13.3395443,12.50738525,13.71422889,17.78076935,14.67297077,13.71567631,14.55486774,14.989
2007,14.54,15.39950848,13.08604622,14.06708527,16.03390694,17.61048508,18.47356415,13.67833805,13.94491386,14.85563183,14.66397285,14.7342968,18.5160923,13.63198376,13.91458988,11.17012215,14.04118156,13.66623211,17.04119873,16.44522476,20.1177597,14.88,14.129,15.99845219,14.84192657,14.45046997,12.41812706,11.58724022,13.2791338,12.43350124,13.42427929,17.97407532,14.27595615,13.85795116,14.35663033,15.111
2008,15.18,15.4211359,13.41197777,13.90586948,15.96967125,17.54582977,18.5849781,13.36329174,13.97401142,15.06644344,14.41128922,14.80037975,18.77447891,13.93129253,13.52442265,10.68705559,14.4318943,13.51002026,16.54073715,15.8383112,19.51709557,14.153,14.377,16.25585175,14.84568501,14.60216045,12.28820419,11.46752262,13.11233521,12.86003971,14.00380086,17.3126545,14.0277977,13.83862877,14.61690235,14.783
2009,14.98,15.86425781,13.46935749,14.03375053,16.24861717,17.32299805,18.90641975,13.43157482,13.84289742,15.08046818,14.32697582,14.64888859,17.908041,13.93701935,13.64853477,10.85581779,14.31322002,13.41440773,17.01628876,16.19041443,19.75891495,14.762,14.484,15.90941429,14.33280087,13.57820797,12.52079868,11.57772064,13.21163368,12.8993454,13.70457704,17.55863953,14.27706909,13.84847069,14.75209618,14.635
2010,15.14,15.54009342,13.51214886,13.84555149,15.83342934,16.76218987,19.12319565,13.4151144,13.91616154,15.12592411,14.2866888,14.31999683,17.6069603,13.61461735,13.46814346,10.96992207,14.51780415,13.37829876,17.16725159,15.92614555,19.69600296,14.804,14.469,15.71523666,14.54767036,13.66039371,12.52517891,11.67105293,13.53292179,12.82452488,13.63183619,16.97564316,14.12788486,13.82610893,14.86081696,14.906
2011,14.55,15.84349728,13.50504303,14.35575581,15.80836487,17.20692635,19.09479141,13.2939539,13.72333908,14.52655602,14.33130836,13.84938145,17.95171928,13.64141655,13.49455261,10.6570797,14.43875217,13.3039999,16.84345627,16.27724838,20.25987434,15.067,14.355,15.45726395,15.48228264,14.31536961,11.92720222,11.81281757,13.44711971,12.89210987,13.5446978,16.88458061,14.24928856,13.53606415,14.33219147,14.829
2012,15.2,15.25260353,13.20989323,14.12173557,15.890975,16.57834435,18.65656662,13.73244667,13.49612713,15.07328129,13.98032951,13.63764095,18.03498459,13.35591602,13.49574471,10.78274155,14.50464153,13.4539032,16.55118561,16.10070419,19.63409615,14.834,14.002,15.60945034,14.97305298,14.41914749,12.2007761,11.8361969,13.19824696,12.52693939,13.23813868,16.71904373,14.33586311,13.94083977,14.53114414,14.756
2013,15.03,14.97931767,13.11832523,14.36581707,16.1450634,16.82350159,19.05958176,13.6268158,13.9172287,15.01693821,14.41882324,13.93241501,18.29473305,13.31397152,13.81228256,11.10031605,14.45850182,13.2812233,15.72938156,15.43060207,19.60675621,15.099,13.87,15.60350609,15.32807541,14.33311558,12.00183487,11.43721294,13.64769459,12.80756187,13.25884975,17.10438919,14.69966698,13.83717155,14.23425102,14.743
2014,14.76,15.29036236,13.08353138,14.03299332,15.89305592,16.61614799,19.9149437,13.50620461,14.0199585,15.09219074,14.22364521,14.00490952,17.34778404,13.29782677,13.41109467,10.90404987,14.42947197,13.53630829,16.79310226,16.10725212,19.53100967,14.68,13.523,16.01531601,14.62891769,14.13315201,12.3027153,11.39028931,13.05920982,12.91920471,13.36821252,17.02681541,14.43797016,13.71367264,14.06742764,14.381
